0;0.732;0.12772;0.0004906;0.05884;0;0;0.0002148;0.027024;0;0;0.001652;0;0;0;0;0;0;0.00363;0;0;0;0;0.0004324;0;0;0;3.22667e-05;0
0.763667;0;0.151333;0.000421233;0.0357333;3.705e-05;0;0.000109133;0.00327333;0;0;8.74e-05;0;0;0;0;0;0;0.00105367;0;0;0;0;6.93e-05;0;0;0;2.67e-05;0
0.013055;0.391;0;9.74e-05;0.0845;0;0;0.00242;0.238;0;0;0.00010775;0.0001049;0;0;3.21e-05;7.24e-06;0;0.07485;0;0;0;0;0.00023235;0;0;0;0.0002425;0
1.19e-05;0.0794;0.338;0;0.162;0.0019;0;0;0.000338;0;0;0.000362;0.118;0.000755;0;0;0.000783;1.59e-05;0.00122;0;0.000235;0;0.00154;4.77e-05;0;0.000568;0.00112;7.95e-06;2.78e-05
0.019;0.119;0.381;0.0146;0;0.000628;0;0.00228;0.0382;2.38e-05;2.98e-06;0.00178;0.000453;0;0;3.87e-05;5.96e-06;2.98e-06;0.0136;1.79e-05;0;0;5.96e-06;0.000217;2.98e-06;0;0;0.000243;0
0;0.000123;0.00011;0.000208;0.000687;0;8.58e-05;0.185;0;4.91e-05;0.000858;0.034;0.00164;0.112;0.00211;0.0925;0.0378;0.00703;4.91e-05;0.00119;0.000515;0.000785;0.0216;0.0144;0.000576;0.108;0.0171;0.00147;0.00239
0;0;0;0;0;0;0;0;0;0.0363;0.337;0;0.151;0.000188;0;0;0;0.00684;0;0;0.00182;0.0114;0.118;0.00201;0;0.000314;0;0;0
0.000143;0.00349;0.0121;0.000521;0.0203;0.415;6.13e-05;0;0.00147;0.000235;0.00185;0.0121;0.00151;0.0391;0.000531;0.0249;0.0103;0.0127;0.000143;0.000981;0.000102;3.06e-05;0.019;0.00575;0.00175;0.0261;0.0206;0.0014;0.00242
0;0.0243;0.256;0.00117;0.0244;0;2.57e-05;0.00608;0;3.85e-05;0;1.92e-05;0.000462;1.28e-05;0;0.000391;2.57e-05;3.85e-05;0.231;5.13e-05;5.13e-05;2.57e-05;6.41e-06;0.000128;1.28e-05;4.49e-05;1.28e-05;0.00131;0
0;0;0;0;0;0;0;0;0;0;0.000432;0;5.69e-06;1.14e-05;0;0.0104;0;0.142;0;0;0;0.00203;0;0;0.0424;0;0;0;0.000239
0;0;0;0;0;4.5e-05;0.109;0;0;0.125;0;9e-05;0.00036;0;0;0;0;0.009;0;0;0;0;0.402;0;0.00036;0.00334;0.00036;0;0.00432
0;0.000388;0.00136;0.000194;0.00072;0.00688;2.77e-05;0.000484;0.000166;6.92e-05;0;0;0.00141;0.00687;0.00143;0;0.00224;0.00101;0.000789;0.0199;4.15e-05;0.000221;0;0.419;0;0.000747;0.000803;0.0147;1.38e-05
1.81e-05;3.61e-05;0.00301;0.0205;5.42e-05;0.0194;0.0102;0.000361;0.0023;1.81e-05;0.000163;0.0131;0;0.0146;0;0.0038;0.00227;0.00131;0.00272;0;0.0211;0.000551;0.00749;0.0413;0;9.03e-05;0.00752;0.00279;0
0;0.00224;0;0.000257;1.66e-05;0.0316;0;6.64e-05;1.66e-05;1.66e-05;6.64e-05;0.00444;0.000515;0;0.0751;0.000116;0.604;4.98e-05;6.64e-05;0.000465;0.000747;0;0.000133;0.0132;0;0.00737;0.0392;0.000614;0.00304
0;1.445e-05;0;0.000149837;0;0.005715;0;0.00043785;0;0;6.23e-06;0.0046575;0.00022364;0.18675;0;3.10667e-05;0.011222;2.245e-05;1.21333e-05;0.026275;0;0;6.5175e-05;0.02055;0;0.00201875;0.0189;0.034775;0.006425
0;0;0;0;0;0.0347;7.02e-05;0.00308;0;0.00181;5.85e-05;0.000983;0.0223;0.0385;0.00024;0;0.0146;0.018;0.000105;1.17e-05;0.000778;0.0195;0.00517;0.000737;0.00921;0.00875;0.0165;0.00029;0.00688
0;0.00178;8.55e-05;4.66e-05;0.000225;0.222;0.000972;0.0147;7.77e-06;4.66e-05;5.44e-05;0.0256;0.000731;0.196;0.00789;0.0168;0;0.000637;0;0.000536;0.0345;0.00111;0.0223;0.0065;0.00033;0.0554;0.071;0.000152;0.00304
5.37e-05;3.41e-05;0;0;0;4.39e-05;9.76e-05;0.000883;0;0.203;0.0043;4.88e-06;7.32e-05;9.76e-05;9.27e-05;0.00284;3.41e-05;0;3.9e-05;3.9e-05;4.88e-06;0.0772;0.0012;1.95e-05;0.0455;3.9e-05;4.39e-05;3.9e-05;0.00851
0;0.000175;0.0274;8.02e-05;1.5e-05;2.51e-05;0;0.00459;0.138;0;0;5.01e-06;0.00202;1.5e-05;0;0.00142;0;7.52e-06;0;6.01e-05;0;0;0;2.51e-05;0;0;0;0.000429;0
0;1.12e-05;2.24e-05;5.59e-05;0;0.000436;0;2.8e-06;0;0;0;0.0618;2.24e-05;0.00412;0.00873;0;0.00407;0;0;0;0.000213;0;0;0.289;8.39e-06;0.000131;0.000898;0.0696;0.000109
2.68e-05;0.00145;0.000366;0.0134;0.000914;0.0186;0.00711;0.000578;0;1.19e-05;0.000307;0.0117;0.0785;0.00429;0;0.00124;0.0216;2.98e-05;5.96e-06;5.96e-06;0;5.96e-06;0.0317;8.93e-05;0;0.0134;0.0384;5.96e-05;0.00165
0;3.98e-05;0;0;0.0017;0.000186;0.0218;0;0;0.00308;0.000941;0.00989;0.397;0;0;0.0127;0.000252;0.0366;0;0;0.0186;0;0.00293;7.95e-05;0.000663;0;0;0.000159;3.98e-05
0;0;0;0;8.76e-06;0.000254;0.0188;1.75e-05;0;0;0.163;0.000377;0.00833;0;0;0.000254;0.000166;0.0419;0;6.13e-05;0.00747;5.25e-05;0;0.000447;7.88e-05;0.0243;0.000131;4.38e-05;0.0312
0;0;0;0;4.3e-05;4.3e-05;0;0;0;0;0;0.239;0;0.00362;0.024;0;0.000204;0;0.00015;0.315;0;0;0;0;0;8.6e-05;0.000215;0.0221;0.00014
0;0;0;0;0;0;0;0;0;0.0279;6.76e-05;0;1.69e-05;1.13e-05;0;0.0201;0;0.317;0;0;0;0.00106;1.13e-05;0;0;0;0;0;0.00251
0;9.04e-05;0;0;0;0.0386;2.26e-05;0.00319;4.52e-05;0;0.000294;0.00184;0.00212;0.000904;0.00149;0.00383;0.0251;0.00214;0;0.00255;0.00563;5.65e-05;0.0972;0.0117;0.000181;0;0.103;0.00658;0.0932
0;0;7.73e-06;0.000104;0;0.0491;0;0.000935;0;0;7.73e-06;5.41e-05;0.000888;0.0399;0.132;0.000147;0.087;7.73e-06;0;0.000352;0.00265;0;8.5e-05;0.0144;0;0.151;0;0.0191;0.0937
0;5.28e-06;2.64e-06;3.7e-05;1.32e-05;0.000343;0;4.75e-05;5.28e-06;0;1.06e-05;0.0293;0.000188;0.00975;0.0323;0.000522;9.91e-05;0;0.000927;0.194;0;0;1.58e-05;0.233;0;5.02e-05;0.000581;0;0.000264
0;0;0;0;0;2.77e-05;0.0256;8.31e-05;0;0.00224;0.0112;0.000152;0.00796;0.000485;0.000152;0.000748;0.00511;0.0221;0;0;0.0195;0.00432;0.0491;4.15e-05;0.0022;0.0805;0.0429;2.77e-05;0
